Key,Id,English(en),Dutch(nl),Chinese (Simplified)(zh-Hans),Finnish(fi),French(fr),German(de),Hungarian(hu),Japanese(ja),Portuguese(pt),Russian(ru),Spanish(es)
UXUI_SeaOfThieves_Subtext,,A UI redesign,Een nieuw ontwerp van de gebruikersinterface,用户界面重新设计,Käyttöliittymän uudelleensuunnittelu,Une refonte de l'interface utilisateur,Eine Neugestaltung der Benutzeroberfläche,UI újratervezés,UIの再設計,Um redesenho da IU,Редизайн пользовательского интерфейса,Un rediseño de la interfaz de usuario
UXUI_SeaOfThieves_Desc,,"This personal project was created solely for my portfolio, aiming to demonstrate my ability to improve a game’s UX/UI and put my own creative spin on it. The goal of this redesign was to make the UI more approachable and user-friendly, while still retaining the pirate aesthetic that players expect from Sea of Thieves. I focused on balancing a friendly, intuitive design with the adventurous, immersive atmosphere of the game, ensuring it resonated with the core experience while enhancing usability. This was made whilst I was still in school.","Dit persoonlijke project is uitsluitend voor mijn portfolio gemaakt, met als doel mijn vermogen te demonstreren om de UX/UI van een game te verbeteren en er mijn eigen creatieve draai aan te geven. Het doel van dit herontwerp was om de gebruikersinterface toegankelijker en gebruiksvriendelijker te maken, terwijl de piratenesthetiek behouden blijft die spelers van Sea of ​​Thieves verwachten. Ik concentreerde me op het balanceren van een vriendelijk, intuïtief ontwerp met de avontuurlijke, meeslepende sfeer van het spel, om ervoor te zorgen dat het resoneerde met de kernervaring en tegelijkertijd de bruikbaarheid verbeterde. Dit is gemaakt toen ik nog op school zat.",这个个人项目是专门为我的作品集创建的，旨在展示我改进游戏用户体验/用户界面并在其中融入我自己的创意的能力。这次重新设计的目标是使用户界面更加平易近人、用户友好，同时仍然保留玩家对《盗贼之海》所期望的海盗美学。我专注于平衡友好、直观的设计与冒险、身临其境的游戏氛围，确保其与核心体验产生共鸣，同时增强可用性。这是我还在上学时制作的。,"Tämä henkilökohtainen projekti luotiin yksinomaan portfoliotani varten, ja sen tarkoituksena on osoittaa kykyni parantaa pelin UX/UI-käyttöliittymää ja tuoda siihen oman luovan pyöräni. Tämän uudelleensuunnittelun tavoitteena oli tehdä käyttöliittymästä helpommin lähestyttävä ja käyttäjäystävällisempi, mutta silti säilyttää merirosvoestetiikka, jota pelaajat odottavat Sea of ​​Thievesilta. Keskityin tasapainottamaan ystävällisen, intuitiivisen suunnittelun ja pelin seikkailunhaluisen ilmapiirin, varmistaen, että se resonoi ydinkokemuksen kanssa ja parantaa käytettävyyttä. Tämä tehtiin ollessani vielä koulussa.","Ce projet personnel a été créé uniquement pour mon portfolio, dans le but de démontrer ma capacité à améliorer l’UX/UI d’un jeu et à y apporter ma propre touche créative. L'objectif de cette refonte était de rendre l'interface utilisateur plus accessible et conviviale, tout en conservant l'esthétique pirate que les joueurs attendent de Sea of ​​Thieves. Je me suis concentré sur l'équilibre entre une conception conviviale et intuitive avec l'atmosphère aventureuse et immersive du jeu, en veillant à ce qu'il résonne avec l'expérience de base tout en améliorant la convivialité. Cela a été réalisé alors que j'étais encore à l'école.","Dieses persönliche Projekt wurde ausschließlich für mein Portfolio erstellt und soll meine Fähigkeit demonstrieren, die UX/UI eines Spiels zu verbessern und ihm meine eigene kreative Note zu verleihen. Das Ziel dieser Neugestaltung bestand darin, die Benutzeroberfläche zugänglicher und benutzerfreundlicher zu gestalten und gleichzeitig die Piratenästhetik beizubehalten, die Spieler von Sea of ​​Thieves erwarten. Ich habe mich darauf konzentriert, ein freundliches, intuitives Design mit der abenteuerlichen, immersiven Atmosphäre des Spiels in Einklang zu bringen, um sicherzustellen, dass es zum Kernerlebnis passt und gleichzeitig die Benutzerfreundlichkeit verbessert. Das habe ich gemacht, als ich noch zur Schule ging.","Ezt a személyes projektet kizárólag az én portfólióm számára hozták létre, és célja, hogy bemutassam képességemet egy játék UX/UI fejlesztésére, és saját kreativitásaimat. Az újratervezés célja az volt, hogy a felhasználói felületet megközelíthetőbbé és felhasználóbarátabbá tegyük, miközben megőrizzük azt a kalóz esztétikát, amelyet a játékosok a Sea of ​​Thieves-től elvárnak. Arra összpontosítottam, hogy egyensúlyt teremtsek a barátságos, intuitív dizájn és a játék kalandos, magával ragadó atmoszférája között, biztosítva, hogy az az alapélményre rezonáljon, miközben javítom a használhatóságot. Ez még iskolás koromban készült.",この個人プロジェクトは私のポートフォリオのためだけに作成されたもので、ゲームの UX/UI を改善し、ゲームに独自のクリエイティブなひねりを加える私の能力を実証することを目的としています。この再設計の目標は、プレイヤーが Sea of​​ Thieves に期待する海賊の美学を維持しながら、UI をより親しみやすく、ユーザーフレンドリーにすることでした。私は、フレンドリーで直感的なデザインと冒険的で没入感のあるゲームの雰囲気のバランスをとることに重点を置き、使いやすさを向上させながら核となるエクスペリエンスと確実に共鳴するようにしました。これは私がまだ学生時代に作ったものです。,"Este projeto pessoal foi criado exclusivamente para o meu portfólio, com o objetivo de demonstrar minha capacidade de melhorar a UX/UI de um jogo e colocar meu próprio toque criativo nele. O objetivo desse redesenho era tornar a IU mais acessível e fácil de usar, ao mesmo tempo que mantinha a estética pirata que os jogadores esperam de Sea of ​​​​Thieves. Concentrei-me em equilibrar um design amigável e intuitivo com a atmosfera envolvente e aventureira do jogo, garantindo que ele ressoasse com a experiência central e, ao mesmo tempo, aprimorasse a usabilidade. Isso foi feito enquanto eu ainda estava na escola.","Этот личный проект был создан исключительно для моего портфолио с целью продемонстрировать мою способность улучшать UX/UI игры и привносить в нее свой творческий подход. Целью этого редизайна было сделать пользовательский интерфейс более доступным и удобным, сохраняя при этом пиратскую эстетику, которую игроки ожидают от Sea of ​​Thieves. Я сосредоточился на том, чтобы сбалансировать дружелюбный, интуитивно понятный дизайн с авантюрной, захватывающей атмосферой игры, чтобы он соответствовал основному опыту и одновременно повышал удобство использования. Это было сделано, когда я еще учился в школе.","Este proyecto personal fue creado únicamente para mi portafolio, con el objetivo de demostrar mi capacidad para mejorar la UX/UI de un juego y darle mi propio toque creativo. El objetivo de este rediseño era hacer que la interfaz de usuario fuera más accesible y fácil de usar, manteniendo al mismo tiempo la estética pirata que los jugadores esperan de Sea of ​​Thieves. Me concentré en equilibrar un diseño amigable e intuitivo con la atmósfera inmersiva y aventurera del juego, asegurándome de que resonara con la experiencia principal y al mismo tiempo mejorara la usabilidad. Esto lo hice cuando todavía estaba en la escuela."
UXUI_SeaOfThieves_Retrospectiive,,"Initially, I forgot to specify that this was a personal project in my portfolio, and it became clear that it’s crucial to always clarify when a redesign is a personal initiative. This experience also taught me the powerful role that color can play in design when used effectively. While some reviewers mentioned that I occasionally overused color, they also appreciated the contrast it created compared to the dark green and grey tones of the original game. Ultimately, they found the redesign to be a refreshing improvement, making the interface more vibrant and engaging for users.","Aanvankelijk vergat ik te specificeren dat dit een persoonlijk project in mijn portfolio was, en het werd duidelijk dat het cruciaal is om altijd duidelijk te maken wanneer een herontwerp een persoonlijk initiatief is. Deze ervaring heeft mij ook de krachtige rol geleerd die kleur kan spelen in het ontwerp als deze effectief wordt gebruikt. Hoewel sommige recensenten zeiden dat ik af en toe te veel kleur gebruikte, waardeerden ze ook het contrast dat het creëerde in vergelijking met de donkergroene en grijze tinten van het originele spel. Uiteindelijk vonden ze het herontwerp een verfrissende verbetering, waardoor de interface levendiger en aantrekkelijker werd voor gebruikers.",最初，我忘记指出这是我的投资组合中的个人项目，而且很明显，始终澄清重新设计何时是个人倡议至关重要。这次经历也让我了解到，如果有效使用颜色，它可以在设计中发挥强大的作用。虽然一些评论家提到我偶尔过度使用颜色，但他们也欣赏它与原始游戏的深绿色和灰色色调相比所产生的对比度。最终，他们发现重新设计是一项令人耳目一新的改进，使界面更加生动、对用户更具吸引力。,"Aluksi unohdin täsmentää, että tämä oli henkilökohtainen projekti portfoliossani, ja kävi selväksi, että on tärkeää aina selventää, milloin uudelleensuunnittelu on henkilökohtainen aloite. Tämä kokemus opetti minulle myös sen voimakkaan roolin, joka värillä voi olla suunnittelussa, kun sitä käytetään tehokkaasti. Vaikka jotkut arvostelijat mainitsivat, että käytin toisinaan liikaa värejä, he arvostivat myös sen luomaa kontrastia verrattuna alkuperäisen pelin tummanvihreisiin ja harmaan sävyihin. Lopulta he pitivät uudelleensuunnittelua virkistävänä parannuksena, mikä teki käyttöliittymästä eloisamman ja käyttäjiä kiinnostavamman.","Au départ, j’ai oublié de préciser qu’il s’agissait d’un projet personnel dans mon portfolio, et il est devenu évident qu’il est crucial de toujours clarifier quand une refonte est une initiative personnelle. Cette expérience m’a également appris le rôle puissant que la couleur peut jouer dans le design lorsqu’elle est utilisée efficacement. Même si certains critiques ont mentionné que j'abusais parfois des couleurs, ils ont également apprécié le contraste qu'elles créaient par rapport aux tons vert foncé et gris du jeu original. En fin de compte, ils ont trouvé que la refonte constituait une amélioration rafraîchissante, rendant l’interface plus dynamique et plus attrayante pour les utilisateurs.","Anfangs habe ich vergessen anzugeben, dass es sich um ein persönliches Projekt in meinem Portfolio handelt, und mir wurde klar, dass es wichtig ist, immer zu klären, wann eine Neugestaltung eine persönliche Initiative ist. Diese Erfahrung hat mich auch gelehrt, welche wichtige Rolle Farbe im Design spielen kann, wenn sie effektiv eingesetzt wird. Während einige Rezensenten erwähnten, dass ich gelegentlich zu viel Farbe verwendet habe, schätzten sie auch den Kontrast, der dadurch im Vergleich zu den dunklen Grün- und Grautönen des Originalspiels entstand. Letztendlich empfanden sie die Neugestaltung als eine erfrischende Verbesserung, die die Benutzeroberfläche lebendiger und ansprechender für die Benutzer machte.","Kezdetben elfelejtettem megadni, hogy ez egy személyes projekt a portfóliómban, és világossá vált, hogy kulcsfontosságú mindig tisztázni, ha az újratervezés személyes kezdeményezés. Ez a tapasztalat arra is megtanított, hogy a színek milyen hatalmas szerepet játszhatnak a tervezésben, ha hatékonyan használják őket. Míg egyes véleményezők megemlítették, hogy időnként túlzásba vittem a színeket, ők is értékelték az általuk létrehozott kontrasztot az eredeti játék sötétzöld és szürke tónusaihoz képest. Végül üdítő fejlesztésnek találták az újratervezést, amely élénkebbé és vonzóbbá teszi a felületet a felhasználók számára.",当初、これが個人的なプロジェクトであることをポートフォリオに明記するのを忘れていましたが、再デザインが個人的な取り組みであることを常に明確にすることが重要であることが明らかになりました。この経験は、色が効果的に使用されるとデザインにおいて強力な役割を果たすことができることも教えてくれました。一部のレビュアーは、私が時々色を使いすぎていると言及しましたが、元のゲームの濃い緑と灰色の色調と比較して、それが生み出すコントラストを高く評価していました。最終的に、彼らはこの再設計が斬新な改善であり、インターフェースがより活気に満ち、ユーザーにとって魅力的なものになったことを発見しました。,"Inicialmente esqueci de especificar que se tratava de um projeto pessoal do meu portfólio, e ficou claro que é fundamental sempre esclarecer quando um redesign é uma iniciativa pessoal. Essa experiência também me ensinou o papel poderoso que a cor pode desempenhar no design quando usada de forma eficaz. Embora alguns críticos tenham mencionado que ocasionalmente usei cores demais, eles também apreciaram o contraste criado em comparação com os tons de verde escuro e cinza do jogo original. No final das contas, eles consideraram o redesenho uma melhoria refrescante, tornando a interface mais vibrante e envolvente para os usuários.","Изначально я забыл указать, что это личный проект в моем портфолио, и стало понятно, что крайне важно всегда уточнять, когда редизайн — это личная инициатива. Этот опыт также научил меня той важной роли, которую цвет может играть в дизайне при эффективном использовании. Хотя некоторые рецензенты отметили, что я иногда злоупотреблял цветом, они также оценили создаваемый им контраст по сравнению с темно-зелеными и серыми тонами оригинальной игры. В конечном итоге они обнаружили, что редизайн стал освежающим улучшением, сделавшим интерфейс более ярким и привлекательным для пользователей.","Inicialmente, olvidé especificar que se trataba de un proyecto personal en mi cartera y quedó claro que es fundamental aclarar siempre cuándo un rediseño es una iniciativa personal. Esta experiencia también me enseñó el poderoso papel que puede desempeñar el color en el diseño cuando se utiliza de forma eficaz. Si bien algunos críticos mencionaron que ocasionalmente abusaba del color, también apreciaron el contraste que creaba en comparación con los tonos verde oscuro y gris del juego original. Al final, descubrieron que el rediseño era una mejora refrescante, que hacía que la interfaz fuera más vibrante y atractiva para los usuarios."
UXUI_Wraith_Subtext,,A modern FPS game,Een modern FPS-spel,现代 FPS 游戏,Moderni FPS-peli,Un jeu FPS moderne,Ein modernes FPS-Spiel,Modern FPS játék,現代のFPSゲーム,Um jogo FPS moderno,Современный шутер от первого лица,Un juego FPS moderno
UXUI_Wraith_Desc,,"This project marked my first freelance assignment. Initially, I was tasked with creating a style guide to provide direction for the team, as they were just beginning their project. Upon completion, the team was very pleased with the result, particularly the logo, which led to me being asked to design initial concepts for several screens. While these designs may not be used in the final product, they served as a valuable starting point for the team to explore different options and consider the direction of the project.","Dit project markeerde mijn eerste freelance opdracht. In eerste instantie kreeg ik de taak om een ​​stijlgids te maken om richting te geven aan het team, aangezien ze nog maar net aan hun project begonnen. Na oplevering was het team zeer tevreden over het resultaat, met name het logo, waardoor mij werd gevraagd de eerste concepten voor meerdere schermen te ontwerpen. Hoewel deze ontwerpen mogelijk niet in het eindproduct worden gebruikt, dienden ze als een waardevol startpunt voor het team om verschillende opties te verkennen en de richting van het project te overwegen.",这个项目标志着我的第一个自由职业任务。最初，我的任务是创建一个风格指南来为团队提供指导，因为他们刚刚开始他们的项目。完成后，团队对结果非常满意，尤其是徽标，这导致我被要求为多个屏幕设计初始概念。虽然这些设计可能不会在最终产品中使用，但它们为团队探索不同的选择并考虑项目的方向提供了宝贵的起点。,"Tämä projekti oli ensimmäinen freelance-tehtäväni. Aluksi sain tehtäväksi luoda tyyliopas, joka ohjaa tiimiä, koska he olivat vasta aloittamassa projektiaan. Valmistuttuaan tiimi oli erittäin tyytyväinen tulokseen, erityisesti logoon, mikä johti siihen, että minua pyydettiin suunnittelemaan alustavia konsepteja useille näyttöille. Vaikka näitä malleja ei välttämättä käytetä lopputuotteessa, ne toimivat arvokkaana lähtökohtana tiimille tutkiessaan eri vaihtoehtoja ja pohtiessaan projektin suuntaa.","Ce projet a marqué ma première mission en freelance. Au départ, j'avais pour tâche de créer un guide de style pour guider l'équipe, alors qu'elle commençait tout juste son projet. Une fois terminé, l'équipe a été très satisfaite du résultat, notamment du logo, ce qui m'a valu de concevoir de premiers concepts pour plusieurs écrans. Même si ces conceptions ne peuvent pas être utilisées dans le produit final, elles ont servi de point de départ précieux à l'équipe pour explorer différentes options et réfléchir à l'orientation du projet.","Dieses Projekt war mein erster freiberuflicher Auftrag. Zunächst wurde ich damit beauftragt, einen Styleguide zu erstellen, um dem Team eine Orientierung zu geben, da es gerade erst mit seinem Projekt begann. Nach der Fertigstellung war das Team mit dem Ergebnis, insbesondere mit dem Logo, sehr zufrieden, was dazu führte, dass ich gebeten wurde, erste Konzepte für mehrere Bildschirme zu entwerfen. Obwohl diese Entwürfe möglicherweise nicht im Endprodukt verwendet werden, dienten sie dem Team als wertvoller Ausgangspunkt, um verschiedene Optionen zu erkunden und die Richtung des Projekts zu überlegen.","Ez a projekt volt az első szabadúszó megbízásom. Kezdetben azt a feladatot kaptam, hogy készítsek egy stílus útmutatót, amely irányt ad a csapatnak, mivel még csak most kezdték el a projektet. A befejezés után a csapat nagyon elégedett volt az eredménnyel, különösen a logóval, ami oda vezetett, hogy felkértek több képernyő kezdeti koncepciójának megtervezésére. Bár ezek a tervek nem használhatók fel a végtermékben, értékes kiindulópontként szolgáltak a csapat számára a különböző lehetőségek feltárásához és a projekt irányának mérlegeléséhez.",このプロジェクトは私にとって初めてのフリーランスの仕事となりました。当初、私はチームがプロジェクトを始めたばかりだったので、チームに方向性を与えるスタイル ガイドを作成する任務を負っていました。完成後、チームは結果、特にロゴに非常に満足したため、私はいくつかの画面の初期コンセプトのデザインを依頼されました。これらのデザインは最終製品には使用されない可能性がありますが、チームがさまざまなオプションを検討し、プロジェクトの方向性を検討するための貴重な出発点として役立ちました。,"Este projeto marcou meu primeiro trabalho freelance. Inicialmente, tive a tarefa de criar um guia de estilo para orientar a equipe, já que eles estavam apenas começando o projeto. Após a conclusão, a equipa ficou muito satisfeita com o resultado, nomeadamente com o logótipo, o que me levou a ser solicitado a desenhar conceitos iniciais para vários ecrãs. Embora esses designs não possam ser usados ​​no produto final, eles serviram como um valioso ponto de partida para a equipe explorar diferentes opções e considerar a direção do projeto.","Этот проект стал моей первой внештатной работой. Первоначально мне было поручено создать руководство по стилю, чтобы дать направление команде, поскольку они только начинали свой проект. По завершении команда осталась очень довольна результатом, особенно логотипом, в результате чего меня попросили разработать первоначальные концепции для нескольких экранов. Хотя эти проекты не могут быть использованы в конечном продукте, они послужили для команды ценной отправной точкой для изучения различных вариантов и определения направления проекта.","Este proyecto marcó mi primera tarea independiente. Inicialmente, me asignaron la tarea de crear una guía de estilo para brindar orientación al equipo, ya que apenas estaban comenzando su proyecto. Al finalizar, el equipo quedó muy satisfecho con el resultado, particularmente con el logotipo, lo que llevó a que me pidieran que diseñara conceptos iniciales para varias pantallas. Si bien es posible que estos diseños no se utilicen en el producto final, sirvieron como un valioso punto de partida para que el equipo explorara diferentes opciones y considerara la dirección del proyecto."
UXUI_Wraith_Retrospectiive,,"This project was an ideal starting point for my freelance career. The product lead was incredibly kind and supportive, recognizing that I was still new to the process and providing valuable guidance along the way. The project also pushed me to explore design solutions outside of my comfort zone. For instance, the gun creation screen was initially designed as a static 2D interface, similar to the older Call of Duty games. However, I later came up with the idea of showcasing the gun in 3D with dynamic 2D widgets surrounding it. This concept only became feasible after I took the initiative to discuss it with one of the developers to confirm its technical viability. This experience taught me the importance of cross-department communication, which proved to be incredibly valuable in bringing ideas to life.","Dit project was een ideaal startpunt voor mijn freelance carrière. De productleider was ongelooflijk vriendelijk en ondersteunend, erkende dat ik nog nieuw was in het proces en gaf onderweg waardevolle begeleiding. Het project heeft mij er ook toe aangezet om ontwerpoplossingen buiten mijn comfortzone te verkennen. Het scherm voor het maken van wapens was bijvoorbeeld aanvankelijk ontworpen als een statische 2D-interface, vergelijkbaar met de oudere Call of Duty-games. Later kwam ik echter op het idee om het wapen in 3D te presenteren met dynamische 2D-widgets eromheen. Dit concept werd pas haalbaar nadat ik het initiatief had genomen om het met een van de ontwikkelaars te bespreken om de technische haalbaarheid ervan te bevestigen. Deze ervaring leerde mij het belang van communicatie tussen afdelingen, die ongelooflijk waardevol bleek te zijn bij het tot leven brengen van ideeën.",这个项目是我自由职业生涯的理想起点。产品负责人非常友善和支持，认识到我对这个过程仍然是新手，并在此过程中提供了宝贵的指导。该项目还促使我探索舒适区之外的设计解决方案。例如，枪支创建屏幕最初被设计为静态 2D 界面，类似于旧的《使命召唤》游戏。然而，我后来想到了用 3D 方式展示这把枪，并在其周围添加动态 2D 小部件。在我主动与其中一位开发人员讨论并确认其技术可行性之后，这个概念才变得可行。这段经历教会了我跨部门沟通的重要性，事实证明这对于将想法变为现实非常有价值。,"Tämä projekti oli ihanteellinen lähtökohta freelance-uralleni. Tuotepäällikkö oli uskomattoman ystävällinen ja kannustava. Hän myönsi, että olin vielä uusi prosessissa, ja antoi arvokasta ohjausta matkan varrella. Projekti sai minut myös tutkimaan suunnitteluratkaisuja mukavuusalueeni ulkopuolella. Esimerkiksi aseen luontinäyttö suunniteltiin alun perin staattiseksi 2D-käyttöliittymäksi, joka on samanlainen kuin vanhemmat Call of Duty -pelit. Myöhemmin keksin kuitenkin idean esitellä ase 3D-muodossa dynaamisten 2D-widgetien ympärillä. Tämä konsepti tuli toteuttamiskelpoiseksi vasta sen jälkeen, kun tein aloitteen keskustellakseni siitä yhden kehittäjän kanssa varmistaakseni sen teknisen elinkelpoisuuden. Tämä kokemus opetti minulle osastojen välisen viestinnän tärkeyden, joka osoittautui uskomattoman arvokkaaksi ideoiden toteuttamisessa.","Ce projet a été un point de départ idéal pour ma carrière d'indépendant. Le responsable produit a été incroyablement gentil et solidaire, reconnaissant que j'étais encore nouveau dans le processus et fournissant des conseils précieux tout au long du processus. Le projet m'a également poussé à explorer des solutions de conception en dehors de ma zone de confort. Par exemple, l'écran de création d'armes à feu a été initialement conçu comme une interface 2D statique, similaire aux anciens jeux Call of Duty. Cependant, j'ai eu plus tard l'idée de présenter l'arme en 3D avec des widgets 2D dynamiques qui l'entourent. Ce concept n'est devenu réalisable qu'après que j'ai pris l'initiative d'en discuter avec l'un des développeurs pour confirmer sa viabilité technique. Cette expérience m'a appris l'importance de la communication interservices, qui s'est avérée extrêmement précieuse pour donner vie aux idées.","Dieses Projekt war ein idealer Ausgangspunkt für meine freiberufliche Karriere. Der Produktleiter war unglaublich freundlich und unterstützend, da er erkannte, dass ich noch neu im Prozess war, und mir auf dem Weg wertvolle Hinweise gab. Das Projekt hat mich auch dazu gebracht, Designlösungen außerhalb meiner Komfortzone zu erkunden. Beispielsweise war der Waffenerstellungsbildschirm ursprünglich als statische 2D-Schnittstelle konzipiert, ähnlich wie bei den älteren Call of Duty-Spielen. Später kam ich jedoch auf die Idee, die Waffe in 3D mit dynamischen 2D-Widgets rundherum zu präsentieren. Dieses Konzept wurde erst realisierbar, nachdem ich die Initiative ergriffen hatte, es mit einem der Entwickler zu besprechen, um seine technische Realisierbarkeit zu bestätigen. Diese Erfahrung lehrte mich, wie wichtig die abteilungsübergreifende Kommunikation ist, die sich als unglaublich wertvoll erwies, um Ideen zum Leben zu erwecken.","Ez a projekt ideális kiindulópont volt szabadúszó karrieremhez. A termékvezető hihetetlenül kedves és támogató volt, felismerve, hogy még új vagyok a folyamatban, és értékes útmutatást nyújtott az út során. A projekt arra is ösztönzött, hogy a komfortzónámon kívül is felfedezzem a tervezési megoldásokat. Például a fegyverkészítő képernyőt eredetileg statikus 2D interfésznek tervezték, hasonlóan a régebbi Call of Duty játékokhoz. Később azonban felmerült az ötlet, hogy a fegyvert 3D-ben mutassam be dinamikus 2D-s kütyükkel körülvéve. Ez a koncepció csak azután vált megvalósíthatóvá, hogy kezdeményeztem, hogy megvitassák az egyik fejlesztővel, hogy megerősítsem műszaki életképességét. Ez a tapasztalat megtanított az osztályok közötti kommunikáció fontosságára, amely hihetetlenül értékesnek bizonyult az ötletek életre keltésében.",このプロジェクトは、私のフリーランスとしてのキャリアにとって理想的な出発点でした。プロダクト リードは信じられないほど親切で協力的で、私がまだこのプロセスに慣れていないことを認識し、途中で貴重なガイダンスを提供してくれました。このプロジェクトはまた、私に自分の快適ゾーンの外でデザイン ソリューションを探求するよう促しました。たとえば、銃の作成画面は当初、古い Call of Duty ゲームと同様に、静的な 2D インターフェイスとして設計されました。しかし、その後、銃を 3D で囲み、動的な 2D ウィジェットで表示するというアイデアを思いつきました。このコンセプトは、私が率先して開発者の 1 人と話し合い、技術的な実現可能性を確認した後に初めて実現可能になりました。この経験から、部門を超えたコミュニケーションの重要性を学びました。これは、アイデアを実現するために非常に貴重であることがわかりました。,"Este projeto foi um ponto de partida ideal para minha carreira freelance. O líder do produto foi incrivelmente gentil e solidário, reconhecendo que eu ainda era novo no processo e fornecendo orientações valiosas ao longo do caminho. O projeto também me incentivou a explorar soluções de design fora da minha zona de conforto. Por exemplo, a tela de criação de armas foi inicialmente projetada como uma interface 2D estática, semelhante aos jogos Call of Duty mais antigos. No entanto, mais tarde tive a ideia de mostrar a arma em 3D com widgets 2D dinâmicos ao seu redor. Este conceito só se tornou viável depois que tomei a iniciativa de discuti-lo com um dos desenvolvedores para confirmar sua viabilidade técnica. Essa experiência me ensinou a importância da comunicação entre departamentos, que provou ser extremamente valiosa para dar vida às ideias.","Этот проект стал идеальной отправной точкой для моей карьеры фрилансера. Руководитель продукта был невероятно любезен и поддерживал меня, признавая, что я все еще новичок в этом процессе, и предоставляя ценные рекомендации на этом пути. Проект также подтолкнул меня к поиску дизайнерских решений за пределами моей зоны комфорта. Например, экран создания оружия изначально был спроектирован как статический 2D-интерфейс, похожий на старые игры Call of Duty. Однако позже мне пришла в голову идея продемонстрировать пистолет в 3D с окружающими его динамическими 2D-виджетами. Эта концепция стала осуществимой только после того, как я взял на себя инициативу обсудить ее с одним из разработчиков, чтобы подтвердить ее техническую жизнеспособность. Этот опыт научил меня важности межведомственной коммуникации, которая оказалась невероятно ценной для воплощения идей в жизнь.","Este proyecto fue un punto de partida ideal para mi carrera independiente. El líder del producto fue increíblemente amable y comprensivo, reconociendo que todavía era nuevo en el proceso y brindándome orientación valiosa a lo largo del camino. El proyecto también me impulsó a explorar soluciones de diseño fuera de mi zona de confort. Por ejemplo, la pantalla de creación de armas se diseñó inicialmente como una interfaz 2D estática, similar a los juegos más antiguos de Call of Duty. Sin embargo, más tarde se me ocurrió la idea de mostrar el arma en 3D con widgets dinámicos 2D a su alrededor. Este concepto sólo se volvió viable después de que tomé la iniciativa de discutirlo con uno de los desarrolladores para confirmar su viabilidad técnica. Esta experiencia me enseñó la importancia de la comunicación entre departamentos, que resultó ser increíblemente valiosa para hacer realidad las ideas."
3D_Faces,,Faces:,Gezichten:,面孔：,Kasvot:,Visages :,Gesichter:,Arcok:,顔:,Rostos:,Лица:,Caras:
3D_Verts,,Verts:,Groenten:,顶点：,Verts:,Verts :,Verts:,Verts:,バーツ:,Verdes:,Верты:,Verdes:
3D_LMB, ,LMB =,LMB =,鼠标左键 =,LMB =,LMB =,LMB =,LMB =,左クリック =,LMB =,ЛКМ =,LMB =
3D_RMB,,RMB =,RMB=,人民币=,RMB =,RMB =,RMB =,RMB =,人民元 =,RMB =,юаней =,RMB =
3D_Toggle_GoBack,,Go Back,Ga terug,回去,Mene takaisin,Retourner,Geh zurück,Menj vissza,戻る,Volte,Возвращаться,Volver
3D_Toggle_PreviewProjectGallery,,Preview Project Gallery,Voorbeeld van projectgalerij,预览项目库,Esikatsele Project Gallery,Aperçu de la galerie de projets,Vorschau der Projektgalerie,Előnézet Project Gallery,プロジェクトギャラリーのプレビュー,Visualizar Galeria de Projetos,Предварительный просмотр галереи проектов,Vista previa de la galería de proyectos
